,n_estimators,max_depth,max_samples,ccp_alpha,training_accuracy,validation_accuracy,testing_accuracy
0,50,12,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,1.0,0.1,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,8,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,1.0,0.1,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,150,6,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,1.0,0.1,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,150,12,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,1.0,0.1,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,6,0.25,0.0,0.22013617806417857,0.2284971078481706,0.22112650710815188
0,50,6,0.25,0.001,0.2144425855932145,0.2222678577540473,0.2140363505488573
0,50,6,0.5,0.0,0.2187110587878913,0.2244241366327823,0.2159078639553716
0,50,6,0.5,0.001,0.22170587465835004,0.22658041551151728,0.22026273168976065
0,50,8,0.25,0.0,0.2671926527183978,0.26820002053598935,0.26233579269389956
0,50,8,0.25,0.001,0.24850087090622439,0.25201081562104255,0.24581608781716754
0,50,8,0.5,0.0,0.2463115572354063,0.24602115206900094,0.2380061184092136
0,50,8,0.5,0.001,0.24300693282662425,0.2477667111613102,0.24052546337952133
0,100,6,0.25,0.0,0.2186972895195214,0.22199404456309682,0.21490012596724853
0,100,6,0.25,0.001,0.22207076027015304,0.22870246774138345,0.22159438545978047
0,100,6,0.5,0.0,0.23095882300293974,0.23513707772871958,0.22810869174014756
0,100,6,0.5,0.001,0.22229106856407185,0.22846288119930178,0.22137844160518266
0,100,8,0.25,0.0,0.2525834589779072,0.2570079063558887,0.24977505848479395
0,100,8,0.25,0.001,0.24919621895890562,0.25512544066810416,0.2488393017815368
0,100,8,0.5,0.0,0.24946471969211917,0.25163432248348566,0.24642792873852798
0,100,8,0.5,0.001,0.245079207716298,0.25132628264366635,0.243116789634695
0,150,6,0.25,0.0,0.22872820152701187,0.2344867714002122,0.22803671045528162
0,150,6,0.25,0.001,0.22451480540581475,0.22996885374952938,0.2229620298722332
0,150,6,0.5,0.0,0.228886548113266,0.2311325598110689,0.22602123447903544
0,150,6,0.5,0.001,0.23495191083021805,0.24054488824999146,0.23419111031131906
0,150,8,0.25,0.0,0.25825639754631635,0.25868501215046036,0.2517545438186072
0,150,8,0.25,0.001,0.23992261671176102,0.24396755313687238,0.23807809969407953
0,150,8,0.5,0.0,0.2625179861068082,0.26464044905363315,0.2570811588986863
0,150,8,0.5,0.001,0.25686570144095394,0.2610124242735394,0.2555695519165017
0,100,6,0.75,0.0,0.24083827305836106,0.2433514734572338,0.23635054885729712
0,100,6,0.75,0.001,0.22600877102395164,0.23126946640654414,0.22454561813928378
0,100,8,0.75,0.0,0.25973659389608333,0.2636136495875689,0.25675724311678966
0,100,8,0.75,0.001,0.24860414041899884,0.2533456549269261,0.24671585387799172
0,150,6,0.75,0.0,0.23303109789261348,0.23876510250881336,0.23055605542558935
0,150,6,0.75,0.001,0.23409133155709771,0.2396892220282712,0.2324995501169696
0,150,8,0.75,0.0,0.2532650377622185,0.25608378683643085,0.25143062803671046
0,150,8,0.75,0.001,0.2486867560292184,0.253551014820139,0.24621198488393017
0,50,8,0.75,0.0,0.25442165630529223,0.2562891467296437,0.25107072161238075
0,50,8,0.75,0.001,0.2376644566990933,0.2433514734572338,0.2359186611481015
0,50,8,1.0,0.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,8,1.0,0.001,0.03767271826011525,0.03593798131224972,0.036206586287565234
0,100,8,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,1.0,0.001,0.04107372754748676,0.04172228497107848,0.04225301421630376
0,150,8,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,1.0,0.001,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,6,1.0,0.0,0.04107372754748676,0.04172228497107848,0.04225301421630376
0,50,6,0.75,0.0,0.22553373126518922,0.22658041551151728,0.22029872233219364
0,50,6,0.75,0.001,0.23173678666584052,0.2378067563404867,0.22933237358286845
0,50,6,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
